Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteGit,Chrome 63.0.3239.132,,2018-01-12 14:30:01,2018-01-12 14:30:40,38.319s,PASSED
,,,,,,
Test Cases/Test1 by Tom,Chrome 63.0.3239.132,,2018-01-12 14:30:02,2018-01-12 14:30:23,20.990s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-12 14:30:04,2018-01-12 14:30:22,18.469s,PASSED
verifyTextPresent,Chrome 63.0.3239.132,,2018-01-12 14:30:22,2018-01-12 14:30:23,0.394s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-12 14:30:23,2018-01-12 14:30:23,0.670s,PASSED
,,,,,,
Test Cases/Test2 by Tom,Chrome 63.0.3239.132,,2018-01-12 14:30:23,2018-01-12 14:30:40,16.257s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-12 14:30:24,2018-01-12 14:30:39,15.178s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-01-12 14:30:39,2018-01-12 14:30:40,0.621s,PASSED
